station_address,latitude,longitude,free_bikes,ID,place_name,rating,place_address,result_ID
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Buk Chang Dong Soon Tofu,4.0,691 Bloor Street W,144
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,KINKA IZAKAYA ANNEX,4.0,559 Bloor St W,145
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Sunrise House,4.0,661 Bloor Street W,146
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Insomnia Restaurant & Lounge,4.0,563 Bloor Street W,147
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Hancook Cheese Dakgalbi,4.0,605 Bloor Street W,148
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,MaMa Chef Korean Restaurant,4.0,648 Bloor Street W,149
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Paldo Gangsan,4.5,694 Bloor Street  W,150
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Ninetails Coffee Bar,4.5,651 Bloor Street W,151
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,KINTON RAMEN,3.5,668 Bloor Street W,152
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Snakes & Lattes Annex,4.0,600 Bloor Street W,153
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Her Chef,4.5,599 Bloor Street W,154
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Arisu Korean BBQ & Sushi,3.5,584 Bloor Street W,155
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Rasa,4.5,196 Robert Street,156
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Kintori Yakitori Izakaya,3.5,668 Bloor Street W,157
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Mr.Tonkatsu,4.0,520 Bloor Street W,158
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Hodo Kwaja,4.5,656 Bloor Street W,159
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Yasu,4.5,81 Harbord Street,160
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Mineral,4.5,1027 Yonge Street,161
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Joso's,4.5,202 Davenport Road,162
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Portici,4.0,6 Scollard Street,163
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Trattoria Nervosa,4.0,75 Yorkville Avenue,164
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,The Keg Steakhouse + Bar,4.0,515 Jarvis Street,165
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,PLANTA Yorkville,4.0,1221 Bay Street,166
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Scaramouche Restaurant Pasta Bar & Grill,4.5,1 Benvenuto Place,167
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Café Boulud,3.5,60 Yorkville Avenue,168
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Black Camel,4.5,4 Crescent Road,169
