ID,place_name,rating,place_address
21,Sunshine Child Care Centre,,176 Leslie St
22,Golden Pizza,7.3,1201 Broadview Ave
22,Dollarama,6.7,1099 Broadview Ave
22,Danish Pastry Shop,7.7,1017 Pape Ave
22,Todmorden Mills Heritage Museum & Arts Centre,7.7,67 Pottery Rd
22,The Greek Grill,7.7,128 O'Connor Dr
22,Subway,6.4,1016 1/2 Pape Ave
22,Shoppers Drug Mart,6.3,1012 Pape Ave
22,Pottery Road Trailhead,8.0,100 Pottery Rd
22,Serano Bakery,9.0,830 Pape Ave
22,Anthi,8.1,824 Pape Ave
23,Hokkaido Ramen Santouka,8.2,91 Dundas St E
23,Blaze Pizza,8.7,10 Dundas St E
23,Yonge-Dundas Square,8.4,40 Dundas St W
23,Uniqlo,9.0,220 Yonge St
23,Page One Cafe,8.9,106 Mutual St
23,Chipotle Mexican Grill,8.3,323 Yonge St
23,Five Guys Burgers & Fries,8.2,329 Yonge St
23,St Michael's Cathedral,8.6,200 Church St
23,Massey Hall,8.7,178 Victoria St
23,CF Toronto Eaton Centre,8.5,220 Yonge St
24,Page One Cafe,8.9,106 Mutual St
24,Allan Gardens Conservatory,8.3,19 Horticultural Ave
24,Allan Gardens Conservatory,8.5,19 Horticultural Ave
24,Hokkaido Ramen Santouka,8.2,91 Dundas St E
24,St Michael's Cathedral,8.6,200 Church St
24,George Restaurant,8.8,111C Queen St E
24,Kinka Izakaya,8.7,398 Church St
24,The George Street Diner,8.7,129 George St
24,Zakkushi,8.8,193 Carlton St
24,Chew Chew's Diner,8.2,186 Carlton St
25,Dentonia Park Golf Course,6.0,M1L Toronto
25,Lcbo,6.5,3111 Danforth Ave
25,Beer Store,6.1,3130 Danforth Ave
25,Dentonia Park,7.1,Avonlea Blvd
25,Ritz Caribbean Foods,,3003 Danforth Ave
25,Metro,6.2,3003 Danforth Ave
25,Tim Hortons,6.1,3003 Danforth Ave
25,Bulk Barn,6.1,3003 Danforth Ave
25,Starbucks,6.8,50 Musgrave St
25,EB Games,5.7,3003A Danforth Ave
26,Wychwood Barns Farmers' Market,8.6,601 Christie St
26,Sea Witch Fish & Chips,7.5,636 Saint Clair Ave W
26,CocoaLatte,7.9,671 Saint Clair Ave W
26,Queen of Persia,7.9,672A St Clair Ave W
26,Leah's Home Baking,7.0,621 St Clair Ave W
26,Churrasco of St Clair,7.8,679 Saint Clair Ave W
26,Baker and Scone,8.1,693 Saint Clair Ave W
26,Dutch Dreams Icecream Parlor Toronto,8.2,36 Vaughan Rd
26,Bar Ape,8.5,283 Rushton Rd
26,Mezzetta Cafe Restaurant,6.3,681 Saint Clair Ave W
27,Shoppers Drug Mart,6.9,1507 Yonge St
27,Toronto Public Library,7.4,40 St Clair Ave E
27,Union Social Eatery,7.5,21 Saint Clair Ave W
27,Daeco Sushi,7.6,40 St Clair Ave W
27,Starbucks,7.2,2 St Clair Ave E
27,The Bagel House,8.4,1438 Yonge St
27,Mary Be Kitchen,7.6,21B St Clair Ave W
27,Mermaid Fish and Grill House,7.1,44 St Clair Ave E
27,Subway,6.4,60 St Clair Ave E
27,Capocaccia Cafe,8.0,1366 Yonge St
28,Flaming Stove,7.6,21 Davisville Ave
28,Bull & Firkin,7.0,1835 Yonge St
28,Oriole Park,7.5,201 Oriole Pky
28,Neshama Playground,7.2,
28,Tabule Restaurant,8.1,2009 Yonge St
28,La Salumeria,8.1,2021 Yonge St
28,Balsamico,8.4,2029 Yonge St
28,Little Sister,8.0,2031 Yonge St
28,St. Louis Bar and Grill,7.4,2050 Yonge St
28,June Rowlands Park,8.3,220 Davisville Ave
29,Hunters Landing,7.3,82 Fort York Blvd
29,Sansotei Ramen,8.3,115 Fort York Blvd
29,Canoe Landing Park,7.5,50 Fort York Blvd
29,Roywoods,8.4,121 Fort York Blvd
29,Toronto Music Garden,9.1,475 Queens Quay W
29,Touti Gelati and Cafe,8.0,550 Queens Quay W
29,Toronto Public Library,8.5,190 Fort York Blvd
29,Starbucks,8.2,10 Lower Spadina Ave
29,Music Garden Cafe,7.6,466 Queens Quay W
29,Le Select Bistro,8.9,432 Wellington St W
30,L'Espresso Bar Mercurio,7.7,321 Bloor St W
30,Gyubee,8.1,335 Bloor St W
30,Coach House Books,7.9,80 Bpnichol Lane
30,Royal Conservatory of Music,8.6,273 Bloor St W
30,Starbucks,7.5,1 Beford Ave
30,Philosopher's Walk,9.0,
30,Fresh on Bloor,8.7,326 Bloor St W
30,Trattoria Fieramosca,7.8,36A Prince Arthur Ave
30,Morton's the Steakhouse,8.0,4 Rd Ave
30,Tiffany & Co.,8.6,150 Bloor St W
31,Sam James Coffee Bar,8.5,150 King St W
31,King Taps,8.3,100 King St W
31,Pizzeria Libretto,8.6,155 University Ave
31,Hy's Steakhouse & Cocktail Bar,8.6,120 Adelaide St W
31,Cafe Landwer,8.8,165 University Ave
31,Pilot Coffee Roasters,8.6,100 King St W
31,Cactus Club Cafe,8.6,77 Adelaide St W
31,The Keg Steakhouse + Bar,8.7,165 York St
31,Beertown Public House - Toronto,8.0,125 Wellington St W
31,Bosk,8.4,188 University Ave
32,Ilsc,9.0,443 University Ave
32,Rolltation,8.1,207 Dundas St W
32,The Library Specialty Coffee,8.9,281 Dundas St W
32,Jimmy's Coffee,8.7,84 Gerrard St W
32,Gyubee Japanese Grill,8.1,157 Dundas St W
32,Art Gallery of Ontario,9.2,317 Dundas St W
32,Tim Hortons,8.3,70 Gerrard St W
32,Above Ground Art Supplies,8.6,74 McCaul St./1842 Queen St E./2868 Dundas St W
32,Red Lobster,8.2,20 Dundas St E
32,The Queen and Beaver Public House,8.5,35 Elm St
33,Rosehill Reservoir,7.9,75 Rosehill Ave
