ID,place_name,rating,place_address,review_count,latitude,longitude
6,Dzo Viet Eatery,4.0,308 Dundas Street W,158,43.65445,-79.39178
6,Omai Restaurant,4.0,3 Baldwin Street,126,43.6561,-79.39234
6,Richmond Station,4.5,1 Richmond Street W,908,43.6513729,-79.379285
6,Koh Lipe,4.0,35 Baldwin Street,271,43.65586,-79.39347
6,Mercatto,3.5,101 College Street,91,43.66018257611177,-79.38755551742875
6,Light Cafe,4.0,23 Baldwin Street,254,43.65594,-79.393
6,Mogouyan Hand-Pulled Noodles,4.5,124 Dundas St W,74,43.65573,-79.38449
6,KINKA IZAKAYA ORIGINAL,4.0,398 Church Street,1818,43.66042406856627,-79.37890046282942
6,The Keg Steakhouse + Bar - York Street,4.0,165 York Street,310,43.650011481693866,-79.38395891300931
6,1915 Lan Zhou Ramen,4.0,185 Dundas Street W,118,43.654965,-79.3866757
6,Katsuya,4.5,66 Gerrard Street E,501,43.65995,-79.37882
6,Saigon Lotus,4.5,6 St Andrew Street,219,43.65449,-79.39928
6,Blaze Pizza,4.5,10 Dundas St. East,585,43.6565313336776,-79.3800427473602
6,Gyubee Japanese Grill - Dundas,4.5,157 Dundas St W,210,43.6551427,-79.3857634
6,Banh Mi Boys,4.0,399 Yonge Street,512,43.6590974,-79.3820781
6,The Queen And Beaver Public House,4.0,35 Elm Street,413,43.65734,-79.38334
6,Yuugi Izakaya,4.5,49 Baldwin Street,83,43.65574,-79.39382
6,Rolltation,4.0,207 Dundas Street W,229,43.65478,-79.387472
6,Ikkousha Ramen,4.5,249 Queen Street W,313,43.65024,-79.38873
7,The Queen And Beaver Public House,4.0,35 Elm Street,413,43.65734,-79.38334
7,Blaze Pizza,4.5,10 Dundas St. East,585,43.6565313336776,-79.3800427473602
7,Adega Restaurante,4.0,33 Elm St,161,43.65732,-79.38323
7,Konjiki Ramen Downtown,4.0,41 Elm Street,116,43.65729,-79.38358
7,Moon Palace,4.0,40 Dundas Street W,62,43.6561951,-79.38240341165705
7,Barberian's Steak House,4.0,7 Elm Street,319,43.6576,-79.38212
7,Richmond Station,4.5,1 Richmond Street W,908,43.6513729,-79.379285
7,JOEY Eaton Centre,3.5,1 Dundas St W,540,43.6558708964233,-79.382009190213
7,Donatello Restaurant,4.0,37 Elm Street,187,43.657425,-79.383474
7,Mogouyan Hand-Pulled Noodles,4.5,124 Dundas St W,74,43.65573,-79.38449
7,Congee Queen,4.0,360 Yonge Street,51,43.658302,-79.381986
7,DonDon Izakaya,3.0,130 Dundas Street West,344,43.65571,-79.38459
7,Salad King Restaurant,3.5,340 Yonge Street,1023,43.65766,-79.38164
7,The Senator,4.0,249 Victoria Street,495,43.65574,-79.37896
7,Pai Northern Thai Kitchen,4.5,18 Duncan Street,3497,43.64784,-79.38872
7,Banh Mi Boys,4.0,399 Yonge Street,512,43.6590974,-79.3820781
7,Thai On Yonge,4.0,370 Yonge Street,148,43.65855,-79.38205
7,Sansotei Ramen,4.0,179 Dundas Street W,943,43.655,-79.38643
7,You Don Ya,3.5,108 Dundas St W,93,43.6557137988527,-79.3841209246949
7,Hana Don,4.5,128 Dundas Street W,22,43.65572,-79.38454
8,Ninetails Coffee Bar,4.5,651 Bloor Street W,34,43.66408,-79.41527
8,Buk Chang Dong Soon Tofu,4.0,691 Bloor Street W,486,43.66363,-79.4169299
8,Yummy Korean Food Restaurant,4.0,620 Bloor Street W,276,43.66469,-79.4140199
8,Korean Village Restaurant,4.0,628 Bloor Street W,430,43.66461,-79.41444
8,Insomnia Restaurant & Lounge,4.0,563 Bloor Street W,1018,43.665961,-79.411003
8,KINKA IZAKAYA ANNEX,4.0,559 Bloor St W,507,43.665157,-79.410658
8,Sunrise House,4.0,661 Bloor Street W,215,43.66401,-79.41561
8,MaMa Chef Korean Restaurant,4.0,648 Bloor Street W,69,43.66444,-79.41534
8,Daldongnae Korean BBQ - Christie,4.5,658 Bloor Street,92,43.66434,-79.41566
8,Paldo Gangsan,4.5,694 Bloor Street  W,85,43.664,-79.41743
8,Her Chef,4.5,599 Bloor Street W,63,43.66457,-79.41292
8,Rustle & Still Café,4.5,605 Bloor Street W,153,43.66457,-79.41304
8,Hodo Kwaja,4.5,656 Bloor Street W,246,43.66438,-79.41557
8,Hancook Cheese Dakgalbi,4.0,605 Bloor Street W,84,43.66457,-79.41304
8,Arisu Korean BBQ & Sushi,3.5,584 Bloor Street W,214,43.6651,-79.41265
8,Mapo Korean BBQ,4.0,708 Bloor Street W,70,43.6639096,-79.4177539
